HydroSHEDS_ID CHIRPSv2.0 CMORPHv0.x-RAW CPC-Unifiedv1.0 CRU-TSv4.03 ERA5-Land ERA5 GPCCv7.0 PERSIANN-CCS PERSIANN-CDR PERSIANN PREC-Land SM2RAIN-CCI TRMM-3B42RT TRMM-3B43 UDELv5.0
1050009170 1004.75 662.837 847.388 934.576 1005.708 999.731 923.432 790.23 994.418 620.065 1081.993 766.117 1073.448 1107.336 1027.843
1050009180 1194.646 570.593 1028.836 1243.494 1012.893 1019.043 1039.796 613.864 869.411 527.454 1264.559 290.759 1020.848 1071.018 1088.069
1050009450 1104.787 661.222 912.874 1374.869 934.12 936.792 690.711 789.951 962.557 634.757 974.819 718.016 1014.824 1044.822 952.097
1051299640 945.927 758.615 771.898 1299.678 773.083 755.406 743.806 871.588 1023.67 692.928 1186.626 870.881 1019.474 1071.87 1159.15
1051299770 1054.228 740.35 792.589 1470.013 763.036 741.41 660.723 889.483 1021.587 732.31 920.575 851.957 1024.031 1042.514 899.733
1051299560 1264.863 1005.762 748.746 1333.515 1081.836 1081.994 1299.021 1277.443 1074.991 1027.896 1299.445 883.457 1230.9 1250.836 1347.937
1051299550 897.409 596.599 596.388 869.249 806.805 762.516 834.257 954.096 878.401 783.741 952.657 523.626 865.294 885.48 885.106
1051285320 667.764 651.215 605.974 622.025 660.199 652.622 623.591 867.18 700.171 635.561 661.081 665.228 753.712 758.104 661.433
1051285400 511.75 459.33 578.519 591.972 520.763 508.637 578.679 779.359 773.036 642.049 623.343 650.213 644.404 644.962 499.117
1051289610 808.801 657.435 728.105 767.919 1083.84 1140.8 804.585 1057.02 979.519 864.833 844.988 990.316 867.311 867.651 878.019
1051289620 889.534 813.205 619.295 963.581 1036.684 1068.437 788.262 1111.964 993.008 936.626 908.155 885.632 898.419 887.125 950.05
1050009460 1057.056 771.061 878.83 1383.658 850.886 864.774 865.024 996.285 1054.441 852.058 930.021 647 996.996 1025.649 868.423
1050010030 1057.99 828.071 839.392 1112.314 804.839 783.019 1021.245 1198.961 1261.048 1002.172 1024.716 805.232 1042.348 1070.886 934.191
1051358080 1104.353 987.788 857.005 1016.259 979.762 988.393 1241.521 1272.137 1142.324 1025.219 1064.866 1076.167 1149.932 1159.349 1149.459
1051357890 870.163 908.639 822.702 1189.078 815.038 806.124 917.971 1189.873 1091.525 949.04 961.297 974.521 1008.119 1038.49 955.347
1051355140 988.938 1023.87 897.608 1151.477 980.364 981.562 1086.355 1338.679 1058.132 1061.731 1039.857 1149.07 1125.211 1136.222 1140.694
1051355040 987.072 1030.858 878.346 1287.243 914.039 929.145 898.847 1316.271 1061.049 1066.101 988.858 987.709 1078.451 1090.19 972.261
