HydroSHEDS_ID Area AI_Actual CHIRPSv2.0.AVHRR.NTSG CHIRPSv2.0.BESS CHIRPSv2.0.CSIRO.PMLv2.0 CHIRPSv2.0.FluxCom.RS CHIRPSv2.0.GLEAMv3.3a CHIRPSv2.0.GLEAMv3.3b CHIRPSv2.0.MOD16A3 CHIRPSv2.0.SSEBOpv4.0 CMORPHv0.x.RAW.AVHRR.NTSG CMORPHv0.x.RAW.BESS CMORPHv0.x.RAW.CSIRO.PMLv2.0 CMORPHv0.x.RAW.FluxCom.RS CMORPHv0.x.RAW.GLEAMv3.3a CMORPHv0.x.RAW.GLEAMv3.3b CMORPHv0.x.RAW.MOD16A3 CMORPHv0.x.RAW.SSEBOpv4.0 PERSIANN.CCS.AVHRR.NTSG PERSIANN.CCS.BESS PERSIANN.CCS.CSIRO.PMLv2.0 PERSIANN.CCS.FluxCom.RS PERSIANN.CCS.GLEAMv3.3a PERSIANN.CCS.GLEAMv3.3b PERSIANN.CCS.MOD16A3 PERSIANN.CCS.SSEBOpv4.0 PERSIANN.CDR.AVHRR.NTSG PERSIANN.CDR.BESS PERSIANN.CDR.CSIRO.PMLv2.0 PERSIANN.CDR.FluxCom.RS PERSIANN.CDR.GLEAMv3.3a PERSIANN.CDR.GLEAMv3.3b PERSIANN.CDR.MOD16A3 PERSIANN.CDR.SSEBOpv4.0 PERSIANN.AVHRR.NTSG PERSIANN.BESS PERSIANN.CSIRO.PMLv2.0 PERSIANN.FluxCom.RS PERSIANN.GLEAMv3.3a PERSIANN.GLEAMv3.3b PERSIANN.MOD16A3 PERSIANN.SSEBOpv4.0 TRMM.3B42RT.AVHRR.NTSG TRMM.3B42RT.BESS TRMM.3B42RT.CSIRO.PMLv2.0 TRMM.3B42RT.FluxCom.RS TRMM.3B42RT.GLEAMv3.3a TRMM.3B42RT.GLEAMv3.3b TRMM.3B42RT.MOD16A3 TRMM.3B42RT.SSEBOpv4.0 TRMM.3B43.AVHRR.NTSG TRMM.3B43.BESS TRMM.3B43.CSIRO.PMLv2.0 TRMM.3B43.FluxCom.RS TRMM.3B43.GLEAMv3.3a TRMM.3B43.GLEAMv3.3b TRMM.3B43.MOD16A3 TRMM.3B43.SSEBOpv4.0
1050007000 26077.6 8.2381 9.2722 9.2722 9.2722 9.2722 9.2722 9.2722 9.2722 9.2722 12.341 12.341 12.341 12.341 12.341 12.341 12.341 12.341 6.1793 6.1793 6.1793 6.1793 6.1793 6.1793 6.1793 6.1793 5.5667 5.5667 5.5667 5.5667 5.5667 5.5667 5.5667 5.5667 8.564 8.564 8.564 8.564 8.564 8.564 8.564 8.564 7.453 7.453 7.453 7.453 7.453 7.453 7.453 7.453 6.5359 6.5359 6.5359 6.5359 6.5359 6.5359 6.5359 6.5359
1050007010 708.7 14.564 15.6796 15.6796 15.6796 15.6796 15.6796 15.6796 15.6796 15.6796 11.861 11.861 11.861 11.861 11.861 11.861 11.861 11.861 8.5153 8.5153 8.5153 8.5153 8.5153 8.5153 8.5153 8.5153 8.9315 8.9315 8.9315 8.9315 8.9315 8.9315 8.9315 8.9315 8.8371 8.8371 8.8371 8.8371 8.8371 8.8371 8.8371 8.8371 10.7003 10.7003 10.7003 10.7003 10.7003 10.7003 10.7003 10.7003 10.3299 10.3299 10.3299 10.3299 10.3299 10.3299 10.3299 10.3299
1050007060 6517.1 9.6665 12.0669 12.0669 12.0669 12.0669 12.0669 12.0669 12.0669 12.0669 11.589 11.589 11.589 11.589 11.589 11.589 11.589 11.589 7.3966 7.3966 7.3966 7.3966 7.3966 7.3966 7.3966 7.3966 7.4388 7.4388 7.4388 7.4388 7.4388 7.4388 7.4388 7.4388 8.6213 8.6213 8.6213 8.6213 8.6213 8.6213 8.6213 8.6213 9.2533 9.2533 9.2533 9.2533 9.2533 9.2533 9.2533 9.2533 8.0926 8.0926 8.0926 8.0926 8.0926 8.0926 8.0926 8.0926
1050007070 7799.8 7.9035 10.0018 10.0018 10.0018 10.0018 10.0018 10.0018 10.0018 10.0018 10.1955 10.1955 10.1955 10.1955 10.1955 10.1955 10.1955 10.1955 7.0734 7.0734 7.0734 7.0734 7.0734 7.0734 7.0734 7.0734 6.5938 6.5938 6.5938 6.5938 6.5938 6.5938 6.5938 6.5938 6.8728 6.8728 6.8728 6.8728 6.8728 6.8728 6.8728 6.8728 9.3764 9.3764 9.3764 9.3764 9.3764 9.3764 9.3764 9.3764 8.4737 8.4737 8.4737 8.4737 8.4737 8.4737 8.4737 8.4737
1050007260 64696.3 6.055 7.5699 7.5699 7.5699 7.5699 7.5699 7.5699 7.5699 7.5699 9.733 9.733 9.733 9.733 9.733 9.733 9.733 9.733 5.7605 5.7605 5.7605 5.7605 5.7605 5.7605 5.7605 5.7605 5.3828 5.3828 5.3828 5.3828 5.3828 5.3828 5.3828 5.3828 7.8827 7.8827 7.8827 7.8827 7.8827 7.8827 7.8827 7.8827 5.7598 5.7598 5.7598 5.7598 5.7598 5.7598 5.7598 5.7598 4.9826 4.9826 4.9826 4.9826 4.9826 4.9826 4.9826 4.9826
1050007270 30966 4.8106 8.5665 8.5665 8.5665 8.5665 8.5665 8.5665 8.5665 8.5665 10.1676 10.1676 10.1676 10.1676 10.1676 10.1676 10.1676 10.1676 8.5578 8.5578 8.5578 8.5578 8.5578 8.5578 8.5578 8.5578 6.733 6.733 6.733 6.733 6.733 6.733 6.733 6.733 9.454 9.454 9.454 9.454 9.454 9.454 9.454 9.454 7.9226 7.9226 7.9226 7.9226 7.9226 7.9226 7.9226 7.9226 7.1212 7.1212 7.1212 7.1212 7.1212 7.1212 7.1212 7.1212
1050008100 1426.2 3.7379 4.4885 4.4885 4.4885 4.4885 4.4885 4.4885 4.4885 4.4885 9.9404 9.9404 9.9404 9.9404 9.9404 9.9404 9.9404 9.9404 11.392 11.392 11.392 11.392 11.392 11.392 11.392 11.392 6.1546 6.1546 6.1546 6.1546 6.1546 6.1546 6.1546 6.1546 17.5632 17.5632 17.5632 17.5632 17.5632 17.5632 17.5632 17.5632 5.787 5.787 5.787 5.787 5.787 5.787 5.787 5.787 5.8477 5.8477 5.8477 5.8477 5.8477 5.8477 5.8477 5.8477
1051144990 619.5 3.2546 4.1387 4.1387 4.1387 4.1387 4.1387 4.1387 4.1387 4.1387 10.2313 10.2313 10.2313 10.2313 10.2313 10.2313 10.2313 10.2313 9.4517 9.4517 9.4517 9.4517 9.4517 9.4517 9.4517 9.4517 4.9019 4.9019 4.9019 4.9019 4.9019 4.9019 4.9019 4.9019 12.8916 12.8916 12.8916 12.8916 12.8916 12.8916 12.8916 12.8916 5.7195 5.7195 5.7195 5.7195 5.7195 5.7195 5.7195 5.7195 5.6128 5.6128 5.6128 5.6128 5.6128 5.6128 5.6128 5.6128
1051145090 14434.3 3.1461 3.2435 3.2435 3.2435 3.2435 3.2435 3.2435 3.2435 3.2435 5.9038 5.9038 5.9038 5.9038 5.9038 5.9038 5.9038 5.9038 4.3297 4.3297 4.3297 4.3297 4.3297 4.3297 4.3297 4.3297 2.9298 2.9298 2.9298 2.9298 2.9298 2.9298 2.9298 2.9298 6.4453 6.4453 6.4453 6.4453 6.4453 6.4453 6.4453 6.4453 3.3948 3.3948 3.3948 3.3948 3.3948 3.3948 3.3948 3.3948 3.3528 3.3528 3.3528 3.3528 3.3528 3.3528 3.3528 3.3528
1051139500 23961.1 2.7317 3.544 3.544 3.544 3.544 3.544 3.544 3.544 3.544 5.4832 5.4832 5.4832 5.4832 5.4832 5.4832 5.4832 5.4832 5.0294 5.0294 5.0294 5.0294 5.0294 5.0294 5.0294 5.0294 3.3035 3.3035 3.3035 3.3035 3.3035 3.3035 3.3035 3.3035 7.0786 7.0786 7.0786 7.0786 7.0786 7.0786 7.0786 7.0786 3.6327 3.6327 3.6327 3.6327 3.6327 3.6327 3.6327 3.6327 3.599 3.599 3.599 3.599 3.599 3.599 3.599 3.599
