HydroSHEDS_ID AVHRR-NTSG BESS CSIRO-PMLv2.0 ERA5-Land FLDAS FluxCom-RS FluxCom-RSM GLDASv2.1 GLEAMv3.3a GLEAMv3.3b MOD16A3 SSEBOpv4.0
1051038680 380.999 592.143 244.191 130.923 198.417 311.473 794.247 320.953 171.386 184.971 209.345 522.483
1051038740 717.152 516.803 580.546 216.232 514.645 710.85 776.537 498.938 461.78 491.741 552.485 670.183
1051035420 610.586 690.817 462.669 172.899 405.998 671.293 766.799 432.325 400.21 423.77 419.34 744.299
1051035300 662.022 729.897 556.234 197.439 447.778 717.015 829.747 454.696 455.981 485.666 457.168 765.054
1051014470 409.495 496.307 362.764 118.528 319.773 432.285 750.715 369.518 331.599 353.783 316.451 474.037
1051014460 289.587 489.426 288.89 110.602 231.186 365.477 839.08 304.275 230.377 248.792 222.981 465.077
1050992050 1085.041 854.324 846.628 280.192 755.158 1012.933 930.972 684.116 735.146 794.276 821.976 811.975
1050991900 1006.648 795.521 726.96 303.129 704.345 927.174 877.806 609.196 677.712 703.89 804.495 858.911
1050982500 469.442 491.487 389.063 142.52 310.529 446.708 792.936 375.172 336.557 362.844 332.683 608.209
1050982060 388.846 435.489 381.97 144.189 296.88 362.857 756.414 327.372 317.226 344.039 324.47 536.918
1050929730 846.173 729.597 626.811 206.063 572.962 891.753 800.496 576.235 635.95 683.65 463.239 719.529
1050929860 546.1 344.411 392.331 156.859 351.151 394.656 705.455 478.071 422.892 450.864 395.281 493.947
1050918220 770.757 694.1 529.034 173.977 511.483 872.281 805.777 530.113 563.303 591.62 435.786 848.808
1050918230 850.667 669.533 560.224 208.421 590.907 860.497 827.847 639.214 577.119 602.929 503.981 585.792
1050901700 1028.388 776.11 786.928 325.729 802.97 1061.201 877.004 755.933 745.25 785.877 600.279 605.213
1050901710 1027.875 710.811 677.028 272.494 759.779 1033.196 901.686 783.206 706.812 757.381 561.098 644.89
1050008110 954.59 993.725 405.742 184.756 566.861 1093.95 1019.803 555.894 474.152 474.446 778.497 1163.527
1050008470 770.134 634.917 589.194 207.376 549.606 865.556 862.406 513.425 510.401 519.463 578.055 720.963
1050008480 1175.407 892.846 287.321 251.175 481.079 1040.334 694.065 625.986 926.172 924.249 933.628 1228.268
1050008570 866.929 560.826 641.806 260.529 604.98 879.424 857.669 565.557 556.904 557.994 606.14 527.051
1050008580 978.136 649.76 641.679 270.405 777.643 1024.196 970.846 617.986 691.832 695.575 934.127 769.08
1050009010 911.793 781.042 712.954 263.569 647.91 909.954 906.018 633.954 611.003 621.04 728.634 599.982
1050009020 1185.028 1010.384 452.768 374.315 924.024 1275.543 1212.61 746.355 834.067 844.074 1084.154 1009.555
1050009130 931.075 911.92 708.001 282.263 731.26 1087.164 983.205 710.773 648.93 658.376 868.964 759.878
1050009140 537.959 1065.621 894.896 366.238 476.918 1273.582 1182.466 516.706 1367.079 1384.735 974.505 1064.926
1050009170 1133.842 1021.964 840.947 364.879 896.427 1291.386 1131.833 793.542 881.284 896.374 1079.67 1038.718
1050009180 1165.39 1085.673 0 394.234 916.945 1235.976 1242.309 794.993 985.255 986.114 1063.958 984.105
1050009450 1149.284 1065.228 1104.599 361.402 978.549 1361.174 1191.976 839.661 838.774 854.081 1098.234 1105.093
1051299640 968.647 977.328 1041.097 308.363 868.074 1205.93 1105.594 853.011 830.446 860.534 895.348 848.467
1051299770 991.402 995.938 1116.476 293.637 950.289 1248.347 1100.916 802.119 765.399 795.96 969.605 845.116
1051299560 1073.966 945.064 1043.986 356.554 987.177 1221.969 1017.476 757.213 866.998 894.874 965.391 1056.578
1051299550 952.643 902.186 753.924 295.053 766.155 1101.278 938.389 693.909 741.677 761.576 840.985 802.876
