"HydroSHEDS_ID" "Latitude" "Longitude" "Area" "Elevation" "Slope" "CTI" "NDVI"
"1051378410" -11.6561 34.4405 21294.2 706.1412 3.8192 23.2215 -0.06
"1051378400" -12.7277 33.5654 8285.8 1041.6495 3.2654 11.5206 0.411
"1051418940" -13.9135 31.0668 23152.4 796.7445 3.9222 10.3876 0.579
"1051418880" -14.1634 29.4834 44507.5 1070.1824 3.6253 10.429 0.581
"1051438780" -15.6867 26.8176 63954.6 1084.2797 1.2824 11.8309 0.52
"1051438860" -16.24 28.6176 4447.7 677.8564 4.4653 11.0454 0.481
"1051347100" -9.9545 34.3891 39974.4 1175.7453 7.4052 12.2494 0.493
"1051347090" -11.3806 33.6605 12277.9 1331.8468 4.6352 10.469 0.53
"1051451560" -18.0487 29.8177 51084.7 1110.3695 2.2854 11.1785 0.487
"1051451550" -16.4765 28.1552 3885.9 764.2073 4.8405 14.8967 0.43
"1051453310" -16.7371 27.8913 4039.1 714.7988 3.7175 16.1608 0.429
"1051453390" -17.6029 28.6057 6857.4 808.3928 2.8363 11.1496 0.465
"1051457490" -17.5143 27.3753 19812.5 830.0726 3.3503 12.9318 0.481
"1051457550" -17.9582 28.2738 10225.4 939.1269 2.4957 10.9694 0.482
"1051387160" -13.6096 32.1562 10478.1 866.764 2.7843 10.5882 0.556
"1051387100" -12.8042 32.1107 15786.3 859.3018 2.0187 11.0093 0.571
"1051478700" -17.8575 26.1602 21896.4 1009.1811 2.4528 10.8492 0.458
"1051478770" -19.1805 28.2552 43487.7 1144.2783 1.3688 11.2814 0.489
"1051376970" -12.0806 31.6386 6263.8 1118.925 4.1128 10.2248 0.627
"1051376870" -12.2219 32.2519 2724.8 641.7815 0.9953 11.7546 0.534
"1051369690" -12.3308 32.9958 4621.7 1050.9117 2.161 10.6379 0.533
"1051369590" -11.0311 32.7629 34243.3 997.1916 3.2712 10.672 0.591
"1051473950" -17.9471 24.1787 13358.1 952.8008 0.2315 13.3193 0.44
"1051473880" -16.2718 24.0947 81873.6 1056.7335 0.6139 12.3382 0.505
"1051413460" -13.9808 25.8224 10521.3 1174.2441 0.8246 11.7842 0.61
"1051413580" -14.7712 26.4986 2093.3 1166.8577 1.1421 11.4597 0.584
"1051412570" -14.4036 26.8211 4687 1189.8883 1.1364 11.4587 0.593
"1051412560" -13.0305 26.4989 24667.5 1261.7467 1.4541 11.0815 0.651
"1051409070" -14.333 27.8456 13507.8 1166.8543 0.5955 12.3069 0.569
"1051409000" -14.1158 27.279 2770.1 1158.007 0.6043 12.2603 0.579
"1051487890" -17.5954 23.1247 12945 999.0213 0.1942 13.4221 0.467
"1051487960" -18.1926 22.3894 21239.5 1003.3419 0.1565 13.5259 0.434
"1051400740" -13.2083 27.2206 9436.2 1217.77 1.1029 11.3998 0.654
"1051400750" -12.9228 27.9203 24928.6 1250.7926 1.228 11.2862 0.615
"1051466490" -16.7737 20.909 38279.8 1105.6561 0.3565 12.9613 0.483
"1051466350" -16.2664 21.713 32013.2 1076.2733 0.3868 12.8958 0.496
"1051423960" -14.4108 21.6898 42104.9 1120.613 0.8327 12.2839 0.562
"1051423970" -14.8853 24.3656 24981.8 1128.7208 0.5596 12.3142 0.577
"1051408100" -14.2518 23.2748 255.9 1048.8263 0.3318 12.9103 0.533
"1051408090" -13.0313 20.6121 47045.2 1244.9984 1.5432 11.4733 0.617
"1051405290" -12.9431 22.8388 27931.5 1137.498 0.8743 12.1626 0.605
"1051405300" -12.9513 24.779 72293.7 1231.9414 1.3222 11.338 0.666
"1051428730" -14.6152 20.6425 9752.3 1200.8002 1.4828 11.2208 0.629
"1051428790" -15.2825 20.447 7853.7 1181.1723 1.0171 11.5882 0.582
"1051419860" -13.8559 19.7834 9731 1303.2039 2.3998 10.5213 0.655
"1051419980" -14.2918 19.5867 10114.8 1286.7354 2.2759 10.6571 0.644
"1051377550" -12.1158 20.7832 24077.8 1187.5826 0.7821 12.3453 0.593
"1051377560" -11.6782 22.7717 41788.5 1149.5707 0.807 12.3232 0.603
"1050011670" -18.8875 35.3698 17621.7 69.5163 0.6743 12.2584 0.699
"1050011960" -18.6293 33.8689 31021.8 408.0576 2.9838 10.8143 0.67
"1050011970" -19.7413 34.4739 1002.6 34.4473 0.4318 12.6128 0.665
"1050012020" -19.9211 33.29 28572.9 480.2483 4.6667 10.3638 0.679
"1050012030" -20.693 34.1266 16795.7 102.7191 0.4922 12.2549 0.598
"1050012210" -20.1901 31.7715 102590 806.9828 2.9958 10.7288 0.507
"1050012220" -22.5814 35.0401 24517.8 81.2409 0.8866 11.9671 0.638
"1050012540" -23.7356 34.5774 19903.9 96.5159 0.7026 12.1085 0.627
"1050012550" -24.8066 34.1146 3159.8 57.186 1.5701 11.4603 0.539
"1050012590" -24.9534 33.5039 2666.7 38.489 1.0181 11.9895 0.618
"1051584690" -22.9124 33.1786 64544.4 127.6143 0.3448 12.692 0.551
"1051584780" -24.4938 33.0158 2422.9 41.8676 0.4514 12.6117 0.564
"1051576130" -24.5008 30.2365 81485.4 915.781 3.7824 10.5511 0.454
"1051576090" -22.086 30.2268 77221.4 698.0698 2.2634 10.9564 0.456
"1051548260" -22.2791 29.1449 2565.2 651.9535 1.2095 11.2491 0.361
"1051548220" -21.1178 28.1907 29066.7 1001.5344 1.6769 11.0898 0.393
"1051548760" -22.3877 28.998 644.4 647.4255 1.5233 11.0289 0.37
"1051548750" -21.9044 27.5703 19497.6 917.659 0.7448 11.8432 0.378
