"P_Mean" "P_SD" "ET_Mean" "ET_SD"
579.518428571429 244.903809996807 812.663875 113.785972880715
308.915 95.5415506346148 429.624125 93.9306402655514
274.128 81.0580849967067 386.476875 71.7735059842269
535.517571428571 220.206042890787 699.58775 133.723536463161
401.613285714286 124.431965000577 430.06025 64.6454812336374
515.919142857143 217.543901113797 663.211125 158.343776748511
647.911428571429 207.391500941944 651.34275 134.150561028325
705.766142857143 278.252925806378 798.65575 169.933461349477
788.933 258.34729120443 764.886375 173.68037452659
470.648571428571 181.043091615281 792.328625 304.156726891129
440.907 192.18253238523 648.585375 126.233934689231
463.083857142857 257.393805611446 926.028125 286.783489120993
461.167714285714 200.881822325727 649.63425 142.369620554336
543.489 259.993323698898 798.048125 156.366965091221
552.492857142857 164.382923539753 734.55025 125.982688455597
724.986714285714 270.152176668209 961.946625 255.5569245583
749.376 120.85387476894 821.7885 154.032056737736
776.067571428571 295.949079112639 1070.412875 280.726499360619
893.297714285714 199.710059870732 1023.023125 149.77958603174
838.262 268.978186047989 938.308875 389.997351856371
887.56 190.790175241459 1072.058375 166.634490297895
912.010285714286 143.69118287577 953.474625 125.578597821601
929.214714285714 142.599540019962 966.030375 163.744004616036
1161.813 120.077367192989 1008.60325 114.792777255055
837.288571428571 117.511845574332 857.143125 123.679666265533
719.101 80.8577131303295 730.650625 192.775133482317
636.412857142857 119.838336576724 637.648125 186.911493687282
871.795714285714 126.436389058839 762.55575 181.34075951782
932.840142857143 95.9014587331332 825.366 153.309159757102
964.792285714286 109.941442843777 986.397375 139.609884079006
1065.92514285714 139.67461200045 947.6135 133.260676618638
1120.15742857143 93.8051190835858 916.222125 137.048381601366
1007.97842857143 110.552998789204 883.015625 135.781814038907
1104.68328571429 115.549232811119 924.64675 143.112161896834
1089.99885714286 105.540871137565 942.959625 162.233677935728
1176.87214285714 129.042475016857 952.05625 131.350601244749
1191.63042857143 127.540113219145 949.132 131.90852777588
1163.82971428571 134.652559910948 970.909625 138.43957030719
1214.45414285714 156.272051498264 928.148625 120.248744935461
1089.22471428571 122.51798455154 960.78375 154.838946774429
1170.11785714286 110.395949514205 885.43225 139.516303267242
1124.45142857143 121.098646418057 898.53375 171.724593782145
1280.68171428571 112.834965282212 894.391875 128.729771735143
991.862857142857 104.33251593891 864.508875 200.1985114733
1284.99942857143 120.392307701194 966.94875 135.339781667951
1219.76771428571 113.473929325513 1037.927 127.060345362801
1373.05842857143 147.030631062439 1021.229375 109.553400541781
1082.223 86.1828214108434 1043.850375 93.4952121752576
1151.12214285714 111.973636327826 1030.53025 138.237573341538
909.042714285714 182.323336720522 1035.27125 307.816347510631
898.440571428571 155.661204509299 952.428375 192.666947616819
926.820857142857 99.4294708699397 893.085625 146.483078142092
1062.84057142857 152.841191954108 844.82025 90.9805626144555
853.223714285714 121.947218367503 761.602625 104.480738216515
823.963285714286 158.387009328116 690.21975 104.529596071092
816.844714285714 84.2869725732953 713.2845 136.95210950652
1048.54 151.025250072077 827.281875 139.99419539746
872.429285714286 150.464069450389 733.577 114.539249985072
857.601857142857 150.299239854397 773.461875 99.3094327219402
1064.67285714286 149.784394676068 839.581125 126.41612452581
1018.84614285714 174.23055030565 760.60875 131.625455218043
1236.78085714286 158.018201647182 883.4425 270.784276976025
817.017285714286 101.520353369352 721.289625 135.168860230388
850.417714285714 156.062626634005 802.6085 198.43841048619
1032.06585714286 182.977061154696 750.893625 131.926012419232
1332.36371428571 107.626692644397 934.679125 465.364846214985
877.330428571429 169.629448079097 782.2035 152.360361077658
945.119428571429 197.946557047483 849.380625 178.199405985011
1448.69057142857 221.444383486281 967.32525 343.183159488903
1081.74042857143 170.486930487215 810.555 133.905257393854
1110.09414285714 197.503259280641 850.314875 141.348209481244
1068.313 197.108546960805 853.662 158.661531682113
986.717571428571 279.919448946691 764.228375 156.283490874699
885.781 221.350628837297 775.464375 173.036888400742
1303.38285714286 192.936142747135 945.466 122.639417874399
1131.34871428571 235.729611163379 780.9715 162.45458187796
822.181142857143 118.122046899846 708.230875 143.660245989763
983.685142857143 296.51304068873 873.451625 177.06888450216
1099.83814285714 345.16291049514 856.5125 203.891974922997
857.368571428571 202.814948894189 703.037125 144.913607068327
952.084285714286 275.283792409285 771.091 152.67711748748
837.685142857143 189.690565537165 698.8125 153.9700785728
1100.62957142857 168.854090703441 824.56975 143.865502252972
1116.84 173.200986366514 857.7785 158.287952439308
848.585 269.544950043587 656.592375 150.737031150219
733.944714285714 142.878082887374 661.904375 160.258364498383
1221.53242857143 208.895304893669 948.493875 166.1794170308
1076.86 179.478698892097 824.585875 166.095797102101
1032.70014285714 140.898502922528 787.333 162.496356566628
1124.48857142857 167.693593980069 885.077375 162.813751848053
835.383 343.933176142304 639.459125 187.347249914955
1072.55442857143 375.890130626782 741.46075 188.590036273507
1193.69571428571 271.855666736177 931.35725 196.742310804732
1090.31657142857 289.367050403035 861.656875 184.627581606431
1096.92114285714 259.570303652934 921.553 184.994280508499
1312.76271428571 253.402350974831 1013.672125 207.812529546249
1072.39971428571 215.32316802403 859.229875 170.673748570136
1092.40857142857 225.282005952434 896.186375 175.541530590291
907.029142857143 345.988966886435 670.051625 200.591612233796
814.293571428571 324.908694624022 605.62075 210.30309856949
1316.43385714286 269.590206596004 1009.4015 216.77817858157
1302.06728571429 220.81157723552 941.7775 175.534201098085
989.659857142857 385.640816818115 675.15825 206.424830501669
1048.145 384.848582000333 724.1855 194.854351327931
1262.67457142857 415.12266174544 841.565875 196.474376653938
1189.398 350.723412358419 873.16275 207.784667268614
1258.40628571429 381.113557665216 844.41325 163.592779176789
1366.44257142857 384.651784279348 974.29075 193.979565201927
1390.368 382.823334500393 956.41675 183.920191396587
1350.36271428571 311.950222339352 1035.93725 204.253723316125
1223.596 412.034458516922 937.89275 244.886570398711
1096.00942857143 390.986761166265 860.6895 229.388108958221
1279.69142857143 391.182705953308 1005.916125 251.437743337015
1230.994 383.890323407611 997.279 239.263832029474
1447.25085714286 430.716879353646 924.220625 186.396557775495
1526.847 445.215169938462 941.730875 173.198441904438
994.974 159.751259523465 1084.466125 116.474213954895
1008.88457142857 118.984010890619 930.536375 108.811137392059
982.250142857143 153.442040238248 961.44275 91.8148230014398
925.907428571429 120.998243481544 923.330875 156.601679855465
877.869142857143 114.590150452862 838.869 98.2555489905205
683.396571428571 62.6066193807469 657.43275 112.716565049242
724.265142857143 132.843470522552 861.770375 134.81142837411
684.461285714286 120.571258371297 829.931 158.127608265332
671.011428571428 142.149157660603 844.285875 83.5659630513311
699.995 165.160502516996 880.9325 102.910161244789
607.279142857143 56.5991171262962 671.8825 138.516023018484
609.806142857143 88.880275307908 679.781875 79.682222497399
642.718285714286 37.1990631724075 595.911 91.4662287185822
511.834857142857 48.5180484714316 527.281125 95.9881866071289
429.020142857143 90.6646202595562 370.9845 99.6376823754088
554.947571428571 114.282489208186 491.667375 114.544408972412
429.512571428571 91.6502777498195 389.30725 109.39873356116
500.237428571429 106.817296345765 446.4275 110.165360959916
522.608428571429 102.083966143656 494.5035 125.501106870475
533.878428571429 81.9378510576912 523.03375 114.239217984206
549.893428571429 104.525758083605 532.865 158.461241146579
504.972142857143 109.528523844139 435.71625 124.373494759879
531.621571428571 103.1874906095 497.306375 137.319220613802
529.164571428571 107.20278348976 466.793875 126.904247076782
653.277 74.6072428097076 569.6185 118.127030017931
590.062571428571 85.8983831800831 534.431625 123.732839431157
741.125428571429 154.82959273543 805.270625 350.274284061561
752.702 36.3990042995684 723.17625 103.208360728258
786.776857142857 45.4787462243943 751.2845 89.7449109754977
848.676428571429 70.4512984523284 753.62675 111.433511519842
814.742285714286 51.5494848170645 769.2265 107.441899927356
865.421714285714 84.3930395366709 710.7565 107.402062442288
889.868857142857 91.7960227559425 730.792625 130.707971752669
730.333 86.891619887459 608.774375 112.780383609584
653.026142857143 102.288143212249 688.262625 163.874166185031
536.925714285714 71.7001045180881 471.994375 125.75318501384
505.889285714286 88.5089119047988 643.489375 173.069430455722
434.498142857143 72.1792116434932 391.33575 126.833136706405
452.479142857143 76.8082157767613 586.1015 203.965049606894
366.791 65.1746008707891 349.104125 121.744122403668
435.452428571429 146.661439340018 625.959625 183.616016972483
301.629285714286 80.8772495013571 305.143625 122.894392884922
332.838714285714 163.644193079288 502.711125 93.3573564970913
340.790714285714 202.610864540638 514.609125 85.502920057801
284.972571428571 175.74680184464 436.259 71.410890730036
208.343285714286 108.375481851623 375.983875 103.503664293227
191.790142857143 71.9829803713549 264.87225 113.574004165629
124.417571428571 51.6030647922425 337.58575 136.237070667013
128.341857142857 50.8526899663088 270.368375 134.360946971674
102.071857142857 42.671222189467 283.04375 144.065868998227
114.955142857143 35.8450606891594 224.761 152.709768199119
72.7012857142857 20.5774724048273 226.164625 153.751324793305
74.7612857142857 17.3423588525733 105.73675 80.0370844863269
166.031142857143 37.2505358280413 150.535625 83.5148308658622
208.91 51.9855160533521 164.258625 95.6136873240251
289.963714285714 84.9400773952129 219.313875 107.425563671433
198.043285714286 51.4620717801447 190.190875 107.518396806497
219.287428571429 39.7349722698496 199.53275 111.560061725576
340.706142857143 69.3822427172558 276.045 117.630217458902
417.625714285714 90.7158483502456 320.2615 108.822036282048
298.444285714286 100.398441353629 217.00575 105.275527784069
296.992714285714 81.5410990374676 216.24775 111.048331148134
469.198142857143 101.027052684629 351.085625 108.372395179027
328.259428571429 68.9502820851304 248.842375 107.658223461282
335.954571428571 82.760210745376 259.13275 113.585268201911
396.804857142857 109.652947153627 295.40475 108.953471974771
408.531285714286 111.612221415211 308.596375 115.737447363711
622.763571428571 46.6483024301962 491.932875 140.339800422747
460.005857142857 115.724385067033 353.075 127.195679403261
492.125571428571 109.588200368253 372.681125 130.344710317831
551.968428571429 86.3258988018797 412.614625 125.056959389298
552.849857142857 93.4192023184181 440.109625 123.760680202833
