HydroSHEDS_ID CERES ERA5-Land FluxCom-RS FluxCom-RSM
1051299770 1829.231 2314.738 1728.957 1662.729
1051299560 1741.262 2369.818 1707.728 1646.751
1051299550 1737.669 2541.504 1724.453 1684.325
1051285320 1720.169 2761.1 1772.007 1721.548
1051285400 1728.426 2733.394 1714.051 1693.57
1051289610 1624.064 2656.619 1838.438 1707.125
1051289620 1718.438 2562.213 1793.946 1596.122
1050009460 1836.609 2386.548 1730.472 1712.675
1050010030 1773.302 2478.017 1765.633 1696.948
1051358080 1767.352 2460.057 1751.454 1687.777
1051357890 1761.416 2512.599 1702.388 1679.739
1051355140 1712.542 2461.813 1748.907 1694.57
1051355040 1728.172 2430.441 1746.042 1688.019
1051363390 1657.607 2398.342 1765.662 1659.134
1051363500 1743.544 2402.044 1767.258 1667.587
1051360960 1815.262 2426.623 1803.823 1655.601
1051360840 1772.954 2428.085 1702.85 1651.146
1050010040 1835.429 2406.723 1758.848 1728.212
1050010590 1798.109 2474.12 1795.342 1695.082
1050010600 1846.759 2414.02 1745.923 1722.514
1050011120 1794.247 2385.408 1787.49 1693.708
1050011130 1967.596 2318.997 1736.67 1717.675
1050011180 1708.913 2402.006 1851.194 1717.348
1050011190 1808.523 2382.313 1840.922 1732.267
1050011420 1729.325 2382.221 1844.348 1705.412
1050011430 1929.394 2434.963 1804.096 1712.55
1050011500 1833.049 2369.82 1838.399 1695.935
1050011510 1863.371 2588.222 1437.797 1722.069
1050011530 1893.692 2359.337 1728.808 1730.951
1050011660 1797.701 2391.57 1731.975 1630.206
1051472390 1620.542 2464.039 1580.863 1597.411
1051472430 1748.499 2476.725 1655.848 1537.864
1051447780 1707.52 2510.713 1622.009 1529.687
1051447890 1641.031 2526.115 1676.385 1577.99
1051443690 1597.872 2466.516 1749.71 1610.056
1051443680 1591.542 2483.716 1645.476 1524.532
1051430860 1636.715 2540.523 1534.202 1587.905
1051430830 1566.014 2498.01 1759.5 1599.642
1051398950 1639.785 2535.026 1621.305 1597.66
1051398880 1928.044 2699.894 974.615 1353.501
1051431950 1621.17 2539.557 1659.292 1589.686
